date,symbol,open,close,low,high,volume
2020-05-12 10-PM,BTCUSDT,8779.99,8812.9,8740,8831.06,20504354.71
2020-05-12 09-PM,BTCUSDT,8815.27,8779.99,8730.06,8851.92,21891239.75
2020-05-12 08-PM,BTCUSDT,8792.19,8815.27,8765,8844.16,31877739.03
2020-05-12 07-PM,BTCUSDT,8897.89,8792.19,8775,8925.98,35370861.36
2020-05-12 06-PM,BTCUSDT,8879,8897.89,8835,8911,25477534.96
2020-05-12 05-PM,BTCUSDT,8923.82,8879,8792.74,8978.26,47883223.55
2020-05-12 04-PM,BTCUSDT,8867.72,8923.82,8865.79,8953.33,42526987.23
2020-05-12 03-PM,BTCUSDT,8887.26,8867.72,8846,8944.72,52135141.33
2020-05-12 02-PM,BTCUSDT,8730.01,8887.26,8730.01,8917.72,82727662.8
2020-05-12 01-PM,BTCUSDT,8769.49,8730.01,8659,8780,39788775.0
2020-05-12 12-PM,BTCUSDT,8800.92,8769.49,8735.42,8819,24407070.07
2020-05-12 11-AM,BTCUSDT,8778.21,8800.92,8726,8812,21941910.17
2020-05-12 10-AM,BTCUSDT,8785.84,8778.21,8725.52,8820,30112728.47
2020-05-12 09-AM,BTCUSDT,8749.75,8785.84,8743.08,8828.72,42982148.25
2020-05-12 08-AM,BTCUSDT,8656.05,8749.75,8632.93,8764.93,35061335.3
2020-05-12 07-AM,BTCUSDT,8704.75,8656.05,8614.98,8719.96,24318757.0
2020-05-12 06-AM,BTCUSDT,8730.75,8704.75,8652.46,8764.01,24032357.57
2020-05-12 05-AM,BTCUSDT,8702.57,8730.75,8702.13,8785,23250893.28
2020-05-12 04-AM,BTCUSDT,8716.07,8702.57,8664.28,8750.01,23685669.73
2020-05-12 03-AM,BTCUSDT,8637.51,8716.07,8632.51,8742.43,27461493.03
2020-05-12 02-AM,BTCUSDT,8619.5,8637.51,8592,8685.71,21634718.26
2020-05-12 01-AM,BTCUSDT,8611.33,8619.5,8563.87,8644,20457864.12
2020-05-12 12-AM,BTCUSDT,8561.52,8611.33,8528.78,8678.55,27410029.88
2020-05-11 11-PM,BTCUSDT,8601.37,8561.52,8500,8640.31,25649879.75
2020-05-11 10-PM,BTCUSDT,8589.84,8601.37,8519.92,8647.35,25188808.12
2020-05-11 09-PM,BTCUSDT,8630.16,8589.84,8459.28,8700,32980032.3
2020-05-11 08-PM,BTCUSDT,8746.86,8630.16,8563.94,8807,69505188.56
2020-05-11 07-PM,BTCUSDT,8605.35,8746.86,8420.07,8780,106925042.45
2020-05-11 06-PM,BTCUSDT,8506.76,8605.35,8200,8660,162222033.43
2020-05-11 05-PM,BTCUSDT,8604.34,8506.76,8425.05,8672.83,94230561.75
2020-05-11 04-PM,BTCUSDT,8882.96,8604.34,8325,8924.48,142091032.06
2020-05-11 03-PM,BTCUSDT,8871.89,8882.96,8812.14,8956.01,45002621.85
2020-05-11 02-PM,BTCUSDT,8846.12,8871.89,8839.55,8942.72,46998413.22
2020-05-11 01-PM,BTCUSDT,8856.34,8846.12,8754,8968,75207417.28
2020-05-11 12-PM,BTCUSDT,8927.43,8856.34,8725.35,9168,206428036.21
2020-05-11 11-AM,BTCUSDT,8803.07,8927.43,8746,8990,76794755.92
2020-05-11 10-AM,BTCUSDT,8487.1,8803.07,8484.5,8885,96834422.32
2020-05-11 09-AM,BTCUSDT,8636.07,8487.1,8478,8638.43,47502271.74
2020-05-11 08-AM,BTCUSDT,8664.32,8636.07,8566.01,8685,32312229.08
2020-05-11 07-AM,BTCUSDT,8684.34,8664.32,8625,8706,24935511.46
2020-05-11 06-AM,BTCUSDT,8689.26,8684.34,8666.66,8732.23,20659724.24
2020-05-11 05-AM,BTCUSDT,8634.53,8689.26,8613.01,8702.39,20812516.54
2020-05-11 04-AM,BTCUSDT,8696.64,8634.53,8620,8710.76,23158687.09
2020-05-11 03-AM,BTCUSDT,8748.07,8696.64,8658.56,8768,23873709.85
2020-05-11 02-AM,BTCUSDT,8713.41,8748.07,8690,8761.18,16420686.64
2020-05-11 01-AM,BTCUSDT,8770.16,8713.41,8684.9,8775,19257712.5
2020-05-11 12-AM,BTCUSDT,8722.77,8770.16,8696,8805.14,33401526.41
2020-05-10 11-PM,BTCUSDT,8777.99,8722.77,8540.41,8837.28,66776828.62
2020-05-10 10-PM,BTCUSDT,8717.94,8777.99,8685,8799.08,23599475.35
2020-05-10 09-PM,BTCUSDT,8663.94,8717.94,8662.43,8783.13,24490414.22
2020-05-10 08-PM,BTCUSDT,8502.94,8663.94,8500.66,8784.66,68461782.59
2020-05-10 07-PM,BTCUSDT,8487.43,8502.94,8483.2,8564.78,24599171.6
2020-05-10 06-PM,BTCUSDT,8527.85,8487.43,8421.17,8569.69,39466355.53
2020-05-10 05-PM,BTCUSDT,8270,8527.85,8265.75,8548.44,73263420.39
